Bid Number,Items,Quantity,Department,Start Date,End Date,Document Link
['GEM/2025/R/584364'],RECOIL FLUID POX-70,[995],"['Ministry of Defence'], ['Department of Defence Production']",['2025-12-02T17:00:00Z'],['2025-12-03T17:19:28Z'],https://bidplus.gem.gov.in/showbidDocument/[8658228]
['GEM/2025/R/584269'],Custom Bid for Services - 1)   Manning Operation Maintenance and Complete Technical Management of P,[5],"['Ministry of Ports, Shipping and Waterways'], ['NA']",['2025-12-02T15:00:00Z'],['2025-12-03T17:19:36Z'],https://bidplus.gem.gov.in/showbidDocument/[8657418]
['GEM/2025/R/584385'],Steel Shelving Cabinets (Adjustable Type) confirming to IS 3312 (V4),[106],['Medical Health and Family Welfare Department Uttar Pradesh'],['2025-12-02T17:00:00Z'],['2025-12-03T17:20:04Z'],https://bidplus.gem.gov.in/showbidDocument/[8658326]
['GEM/2025/R/584324'],"Internet Bandwidth and Replication Service - Internet Leased Line; Private Service provider, Goverm",[1],['Mumbai Metropolitan Region Development Authority (MMRDA)'],['2025-12-02T16:00:00Z'],['2025-12-03T17:20:26Z'],https://bidplus.gem.gov.in/showbidDocument/[8657919]
['GEM/2025/R/584411'],Clodinafop-Propargyl 12% + Metribuzin 42% WG,[225],"['Ministry of Agriculture and Farmers Welfare'], ['Department of Agriculture Cooperation and Farmers Welfare']",['2025-12-02T17:00:00Z'],['2025-12-03T17:20:54Z'],https://bidplus.gem.gov.in/showbidDocument/[8658496]
['GEM/2025/R/584293'],Network Attached Storage,[1],"['Cabinet Secretariat'], ['NA']",['2025-12-02T16:00:00Z'],['2025-12-03T17:21:06Z'],https://bidplus.gem.gov.in/showbidDocument/[8657669]
['GEM/2025/R/584410'],Stationary Valve Regulated Lead Acid Batteries (V2) as per IS 15549,[142],"['Ministry of Defence'], ['Department of Defence Research & Development']",['2025-12-02T17:00:00Z'],['2025-12-03T17:21:13Z'],https://bidplus.gem.gov.in/showbidDocument/[8658488]
['GEM/2025/R/584041'],Supply of Mobile Crane -3T (MC-P) for AWS Prime,[4],"['Ministry of Defence'], ['Department of Defence Production']",['2025-12-02T12:00:00Z'],['2025-12-03T17:21:31Z'],https://bidplus.gem.gov.in/showbidDocument/[8655942]
['GEM/2025/R/584037'],INSTALLATION OF ANTI CUTTING SECURITY FENCE,[700],"['Ministry of Defence'], ['Department of Military Affairs']",['2025-12-02T12:00:00Z'],['2025-12-03T17:22:24Z'],https://bidplus.gem.gov.in/showbidDocument/[8655923]
['GEM/2025/R/584136'],Lifting Tackle H. L. for Round Disc as per Drg. No. HT-213,[2],"['Ministry of Defence'], ['Department of Defence Production']",['2025-12-02T13:00:00Z'],['2025-12-03T17:22:30Z'],https://bidplus.gem.gov.in/showbidDocument/[8656539]
['GEM/2025/R/584371'],SUPPLY INSTALLATION TESTING AND COMMISSIONING OF SECURITY EQUIPMENT (CCTV SURVEILLANCE CAMERA),[47],"['Ministry of Defence'], ['Department of Military Affairs']",['2025-12-02T17:00:00Z'],['2025-12-03T17:22:37Z'],https://bidplus.gem.gov.in/showbidDocument/[8658256]
['GEM/2025/R/584372'],Sodium Hypochlorite Solution for Bulk Supply (V2) as per IS 11673 (Part 1),[500],"['PMO'], ['Department of Atomic Energy']",['2025-12-02T17:00:00Z'],['2025-12-03T17:22:57Z'],https://bidplus.gem.gov.in/showbidDocument/[8658257]
['GEM/2025/R/584424'],Custom Bid for Services - OPERATIONAL & UPKEEPING JOBS AT STOCK HOUSE / HIGH LINE AREA IN BFs,[1],"['Ministry of Steel'], ['Steel Authority of India Limited']",['2025-12-02T17:00:00Z'],['2025-12-03T17:23:48Z'],https://bidplus.gem.gov.in/showbidDocument/[8658590]
['GEM/2025/R/579037'],Custom Bid for Services - DEVELOPMENT & SUPPLY OF COMPUTER BASED TRAINING (CBT) PACKAGE &  SYMPTOMS,[1],"['Ministry of Defence'], ['Department of Defence Production']",['2025-11-22T11:00:00Z'],['2025-12-03T17:24:08Z'],https://bidplus.gem.gov.in/showbidDocument/[8616387]
['GEM/2025/R/584225'],XENON FILLED FLASHLAMP,[75],"['PMO'], ['Department of Atomic Energy']",['2025-12-02T14:00:00Z'],['2025-12-03T17:24:16Z'],https://bidplus.gem.gov.in/showbidDocument/[8657071]
['GEM/2025/R/584425'],Desk and Bench Set for Classroom/Training Area,[60],['Technical Education Department Haryana'],['2025-12-02T17:00:00Z'],['2025-12-03T17:24:35Z'],https://bidplus.gem.gov.in/showbidDocument/[8658592]
['GEM/2025/R/584336'],"45 degree Leg Press or Hack Squat Machine,Leg Curl Machine (Version 2),Chest Press (Version 2)",[3],"['Ministry of Defence'], ['Department of Military Affairs']",['2025-12-02T16:00:00Z'],['2025-12-03T17:24:44Z'],https://bidplus.gem.gov.in/showbidDocument/[8657991]
['GEM/2025/R/583988'],"Hot Rolled Carbon Steel Bars Dia-16mm,Hot Rolled Carbon Steel Bars Dia-20mm,Hot Rolled Carbon Steel",[1094500],"['Ministry of Heavy Industries and Public Enterprises'], ['Department of Heavy Industry']",['2025-12-02T12:00:00Z'],['2025-12-03T17:24:50Z'],https://bidplus.gem.gov.in/showbidDocument/[8655754]
['GEM/2025/R/584344'],FRP BOAT,[5],"['Ministry of Home Affairs'], ['Central Armed Police Forces']",['2025-12-02T16:00:00Z'],['2025-12-03T17:24:52Z'],https://bidplus.gem.gov.in/showbidDocument/[8658069]
['GEM/2025/R/584275'],Handling and Transport on Lumpsum Basis - Handling & Transport Service,[1],"['Ministry of Railways'], ['Railways Public Sector Undertakings']",['2025-12-02T15:00:00Z'],['2025-12-03T17:24:53Z'],https://bidplus.gem.gov.in/showbidDocument/[8657484]
['GEM/2025/R/584289'],Custom Bid for Services - 9030C25C78 Annual Rate Contract for Mechanical Maintenance works of Rotar,[1],"['Ministry of Petroleum and Natural Gas'], ['INDIAN OIL CORPORATION LIMITED']",['2025-12-02T16:00:00Z'],['2025-12-03T17:25:26Z'],https://bidplus.gem.gov.in/showbidDocument/[8657660]
['GEM/2025/R/583815'],CNC Laser Cutting Machine,[1],"['Ministry of Heavy Industries and Public Enterprises'], ['Department of Heavy Industry']",['2025-12-02T10:00:00Z'],['2025-12-03T17:25:40Z'],https://bidplus.gem.gov.in/showbidDocument/[8654986]
['GEM/2025/R/584301'],"Fowl D,Meat Frozen,Fish Pomfret fresh,Fish Sumrai fresh,Fish Rohu fresh,Fish Katla Fresh,Fish Macke",[62000],"['Ministry of Defence'], ['Department of Military Affairs']",['2025-12-02T16:00:00Z'],['2025-12-03T17:25:57Z'],https://bidplus.gem.gov.in/showbidDocument/[8657710]
['GEM/2025/R/583924'],"15 kW Lithium ion rechargeable battery with BMS,Charger for 15 kW Lithium ion rechargeable battery,",[10],"['Ministry of Defence'], ['Department of Defence Research & Development']",['2025-12-02T11:00:00Z'],['2025-12-03T17:26:02Z'],https://bidplus.gem.gov.in/showbidDocument/[8655373]
['GEM/2025/R/584043'],End Point Protection Software / Appliances (V3),[800],"['Ministry of Defence'], ['Department of Defence Research & Development']",['2025-12-02T12:00:00Z'],['2025-12-03T17:26:07Z'],https://bidplus.gem.gov.in/showbidDocument/[8655964]
['GEM/2025/R/584249'],Repair and Overhauling Service - Refit (R-4) of ICGS C-161; Refit (R-4) of ICGS C-161; No; Service ,[1],"['Ministry of Defence'], ['Department of Defence']",['2025-12-02T15:00:00Z'],['2025-12-03T17:26:08Z'],https://bidplus.gem.gov.in/showbidDocument/[8657220]
['GEM/2025/R/584337'],"GI STRIP 75X10,GI STRIP 50X6,35x6 GI STRIP,25 x 3 GI Strip,65MM 3M GI PIPE ELECTROD HVY DUTY CL-C",[10815],"['Ministry of Heavy Industries and Public Enterprises'], ['Department of Heavy Industry']",['2025-12-02T16:00:00Z'],['2025-12-03T17:26:20Z'],https://bidplus.gem.gov.in/showbidDocument/[8657992]
['GEM/2025/R/584348'],Steel Bookcases confirming to IS 7761 (V2),[678],['Education Department Andaman & Nicobar'],['2025-12-02T17:00:00Z'],['2025-12-03T17:26:20Z'],https://bidplus.gem.gov.in/showbidDocument/[8658144]
['GEM/2025/R/584420'],HYDRAULIC REFILLING TROLLEY,[3],"['Ministry of Defence'], ['Department of Military Affairs']",['2025-12-02T17:00:00Z'],['2025-12-03T17:26:24Z'],https://bidplus.gem.gov.in/showbidDocument/[8658564]
['GEM/2025/R/584292'],Monthly Basis Cab & Taxi Hiring Services - SUV; 1200 Km x 300 hours SUV NON-AC (Qty: 9 Nos) Thanjav,[13],"['Ministry of Communications'], ['Department of Telecommunications (DOT)']",['2025-12-02T16:00:00Z'],['2025-12-03T17:26:26Z'],https://bidplus.gem.gov.in/showbidDocument/[8657664]
['GEM/2025/R/584064'],"Midazolam nasal spray 0 point 5 mg per ml spray 5ml Bott,Norflox Syp 100mg per 5ml Bott of 30 ml,On",[10012],"['Ministry of Defence'], ['Department of Military Affairs']",['2025-12-02T12:00:00Z'],['2025-12-03T17:26:30Z'],https://bidplus.gem.gov.in/showbidDocument/[8656068]
['GEM/2025/R/584414'],"Goods Transport Service – Per KM Based Service - Machinery & Equipment, Vehicles, Heavyweight/Ove",[20000],"['Ministry of Defence'], ['Department of Military Affairs']",['2025-12-02T17:00:00Z'],['2025-12-03T17:26:42Z'],https://bidplus.gem.gov.in/showbidDocument/[8658516]
['GEM/2025/R/584124'],"Design, Development and Supply of Embedded Device for Serial Data Recording Unit",[5],"['Ministry of Defence'], ['Department of Defence Research & Development']",['2025-12-02T13:00:00Z'],['2025-12-03T17:26:44Z'],https://bidplus.gem.gov.in/showbidDocument/[8656446]
['GEM/2025/R/583956'],"1552141085,1553101110,1554041061,1554041066,1556031061,1573031003,1573031004,9359524264,9359524516",[500],"['Ministry of Defence'], ['Department of Defence Production']",['2025-12-02T11:00:00Z'],['2025-12-03T17:26:55Z'],https://bidplus.gem.gov.in/showbidDocument/[8655571]
['GEM/2025/R/583849'],Portable Power Generators,[3],"['Ministry of Defence'], ['Department of Military Affairs']",['2025-12-02T10:00:00Z'],['2025-12-03T17:26:55Z'],https://bidplus.gem.gov.in/showbidDocument/[8655096]
['GEM/2025/R/584315'],"Apple i Phone 16 Plus 512 GB IOS Colour Teal,Apple i Phone 16 Plus 512 GB IOS 18 Colour Black,Apple",[8],"['Ministry of Defence'], ['Department of Military Affairs']",['2025-12-02T16:00:00Z'],['2025-12-03T17:27:01Z'],https://bidplus.gem.gov.in/showbidDocument/[8657848]
['GEM/2025/R/584323'],"B 01 Bench Three Seater,B 02 Chair Wooden Deskey with Writing Pad for ClassRoom,B 03 Chair Wooden W",[1812],"['Ministry of Education'], ['Department of Higher Education']",['2025-12-02T16:00:00Z'],['2025-12-03T17:27:12Z'],https://bidplus.gem.gov.in/showbidDocument/[8657915]
['GEM/2025/R/583878'],Current Transformer Analyzer,[1],"['Ministry of Power'], ['Bhakra Beas Managemet Board ']",['2025-12-02T11:00:00Z'],['2025-12-03T17:27:18Z'],https://bidplus.gem.gov.in/showbidDocument/[8655198]
['GEM/2025/R/584357'],Financial Advisory Services - Offsite; Tax Advisory,[1],"['Ministry of Youth Affairs and Sports'], ['Department of Sports']",['2025-12-02T17:00:00Z'],['2025-12-03T17:27:23Z'],https://bidplus.gem.gov.in/showbidDocument/[8658190]
['GEM/2025/R/583952'],HAND HELD METAL DETECTOR,[45],"['Cabinet Secretariat'], ['NA']",['2025-12-02T11:00:00Z'],['2025-12-03T17:27:25Z'],https://bidplus.gem.gov.in/showbidDocument/[8655525]
